File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Tissue Type,Tumor Descriptor,Specimen Type,Preservation Method
b29783c8-1d44-4a43-9727-ed574c833994,b849f8c0-4937-4e95-bfc7-c8da9340d021.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-09-2044,TCGA-09-2044-01B,Tumor,Primary,Unknown,Unknown
ca4da4fd-c798-42a7-8a03-8ec7cb4e6f02,bd0a6575-996a-45d2-9be2-2187a1cf1cbe.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-61-2008,TCGA-61-2008-01A,Tumor,Primary,Unknown,Unknown
ac6d39c1-390e-4fc2-88d7-11553782e32f,299f99cd-e2df-4266-a488-4f8f48aa68d9.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-29-1707,TCGA-29-1707-02A,Tumor,Recurrence,Unknown,Unknown
cff376a8-d020-4249-b1b3-2b5556b1f1ee,d421a512-b1d2-4275-9374-b579352abb25.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-61-1911,TCGA-61-1911-01A,Tumor,Primary,Unknown,Unknown
5489e08c-6b15-4241-ae1c-47b432acfa84,68faaf7b-ec8b-4e35-b86d-54f927585c61.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-23-1809,TCGA-23-1809-01A,Tumor,Primary,Unknown,Unknown
7af12dcf-aac1-44e1-b7b1-f51ce08f3c4f,88e85e7b-16f4-484a-8f20-541f0900ff44.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-61-2097,TCGA-61-2097-01A,Tumor,Primary,Unknown,Unknown
379e3e21-5fdf-4c94-8b8f-72d9e1637cde,791c5e20-ea2c-483e-b409-bea457466497.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-09-1667,TCGA-09-1667-01C,Tumor,Primary,Unknown,Unknown
fee93714-af26-4019-9749-50bd2f150bc1,1bbb5ca6-937e-4f18-a2a5-b02d0738a4c9.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-29-1763,TCGA-29-1763-01A,Tumor,Primary,Unknown,Unknown
82cdc03b-fbae-42da-a7e8-416839910b94,1e36ddde-f989-45b5-a887-d7c6ac41aaeb.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-20-0991,TCGA-20-0991-01A,Tumor,Primary,Unknown,Unknown
6c615494-d422-4520-9c58-62ccd6ba3385,a2e43a42-ba42-4666-8431-47d4dc22dba2.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-61-1910,TCGA-61-1910-01A,Tumor,Primary,Unknown,Unknown
29e49cd4-3233-41e5-89fb-24bfe09d540e,872f7c22-17e4-4940-809b-a0970fde369b.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-61-2012,TCGA-61-2012-01A,Tumor,Primary,Unknown,Unknown
d9e87b57-3c5b-4f68-b0ae-f4a56f1b2541,fdea882d-5c90-4536-b7b4-52144da6bff6.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-36-1581,TCGA-36-1581-01A,Tumor,Primary,Unknown,Unknown
8a3924f5-5cab-4736-8b97-451c6e99a79b,412e9725-b56c-4b7b-b6cb-6d32ccddb96d.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-36-1577,TCGA-36-1577-01A,Tumor,Primary,Unknown,Unknown
fc3fcf32-22af-44ed-9d28-954656ccf325,ca1f772a-da2c-4c21-9f25-f7c4144637c3.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-3P-A9WA,TCGA-3P-A9WA-01A,Tumor,Primary,Unknown,Unknown
38f893f0-8c46-4c86-8dbd-a71e8c32a9a1,774c4255-87c8-4e0d-9f23-64ac32174a82.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-OY-A56Q,TCGA-OY-A56Q-01A,Tumor,Primary,Unknown,Unknown
ff4b2d3d-0028-4b8c-9be8-ac2ab8d33e42,85eefeaf-be74-41e0-980a-0b16bc47cbc9.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-24-2281,TCGA-24-2281-01A,Tumor,Primary,Unknown,Unknown
8eb73ad8-0aff-403f-8d95-5c20dcd210a2,22a0a810-bcf2-4e89-aa7d-bcbdbf88fb82.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-OV,TCGA-61-2104,TCGA-61-2104-01A,Tumor,Primary,Unknown,Unknown
